train_id,origin,destination,travel_date,booking_date,class,seats_requested,booked
T138,MAS,HYD,2025-01-21,2024-11-21,SL,1,1
T121,SBC,BCT,2025-10-21,2025-07-25,SL,1,0
T132,JU,CSTM,2025-12-11,2025-08-25,SL,1,1
T115,KOL,LKO,2025-11-16,2025-07-23,SL,1,0
T106,SBC,JU,2025-10-01,2025-08-23,2A,1,0
T106,LKO,KOL,2025-03-22,2025-01-03,SL,1,1
T101,CSTM,PUNE,2025-09-17,2025-06-03,SL,1,1
T122,HYD,LKO,2025-07-27,2025-05-03,3A,1,1
T123,JU,HYD,2025-02-10,2024-12-12,SL,1,1
T110,KOL,NDLS,2025-06-12,2025-06-04,3A,1,0
T138,JU,HYD,2025-05-15,2025-04-17,2A,1,1
T123,SBC,KOL,2025-12-26,2025-11-12,SL,1,0
T134,SBC,KOL,2025-01-05,2025-01-04,3A,1,0
T114,JU,KOL,2025-12-18,2025-10-16,3A,1,1
T131,MAS,CSTM,2025-08-19,2025-07-27,SL,1,1
T121,BCT,JU,2025-05-14,2025-01-17,SL,1,1
T119,JU,PUNE,2025-08-19,2025-05-19,2A,1,1
T112,HYD,KOL,2025-07-17,2025-04-05,3A,1,1
T136,NDLS,MAS,2025-06-21,2025-03-07,SL,1,1
T111,PUNE,BCT,2025-04-23,2025-04-20,SL,1,0
T101,BCT,PUNE,2025-08-12,2025-05-17,2A,1,1
T131,CSTM,LKO,2025-07-22,2025-05-15,SL,1,1
T137,LKO,SBC,2025-04-08,2024-12-13,3A,1,0
T105,KOL,SBC,2025-12-12,2025-10-14,3A,1,1
T131,PUNE,MAS,2025-05-08,2025-01-23,3A,1,1
T122,JU,KOL,2025-09-09,2025-09-02,SL,1,0
T101,NDLS,CSTM,2025-06-09,2025-05-03,3A,1,0
T102,MAS,HYD,2025-04-30,2025-03-07,2A,1,0
T107,MAS,PUNE,2025-12-06,2025-08-24,3A,1,0
T117,BCT,KOL,2025-06-12,2025-04-19,3A,1,1
T132,MAS,NDLS,2025-10-04,2025-09-20,SL,1,0
T132,KOL,PUNE,2025-01-22,2024-09-25,SL,1,0
T107,BCT,CSTM,2025-04-07,2025-03-08,3A,1,0
T118,MAS,KOL,2025-02-18,2024-12-16,SL,1,0
T129,SBC,PUNE,2025-08-21,2025-05-14,1A,1,1
T132,MAS,CSTM,2025-06-10,2025-05-09,SL,1,1
T124,JU,CSTM,2025-11-19,2025-09-22,3A,1,0
T101,JU,BCT,2025-09-30,2025-07-02,2A,1,1
T138,JU,PUNE,2025-12-21,2025-11-25,SL,1,1
T135,MAS,NDLS,2025-05-22,2025-05-14,2A,1,0
T127,BCT,KOL,2025-08-03,2025-07-02,3A,1,0
T121,JU,CSTM,2025-06-29,2025-05-11,SL,1,1
T136,NDLS,HYD,2025-03-01,2025-01-07,SL,1,1
T129,KOL,LKO,2025-11-04,2025-09-25,SL,1,0
T129,KOL,NDLS,2025-10-02,2025-07-31,SL,1,1
T100,BCT,PUNE,2025-03-30,2025-02-10,3A,1,1
T115,PUNE,SBC,2025-12-15,2025-11-23,SL,1,0
T128,SBC,NDLS,2025-08-26,2025-05-24,1A,1,1
T115,JU,SBC,2025-04-10,2025-03-02,SL,1,0
T104,MAS,BCT,2025-08-11,2025-06-20,SL,1,0
T131,NDLS,HYD,2025-01-04,2024-10-27,3A,1,1
T111,BCT,MAS,2025-06-28,2025-05-26,2A,1,0
T100,NDLS,HYD,2025-02-12,2024-11-30,SL,1,1
T125,JU,BCT,2025-04-15,2024-12-21,SL,1,1
T110,LKO,MAS,2025-10-04,2025-07-07,1A,1,0
T134,NDLS,MAS,2025-02-05,2024-10-16,SL,1,0
T123,PUNE,SBC,2025-07-02,2025-06-20,3A,1,0
T119,HYD,CSTM,2025-07-06,2025-06-23,SL,1,1
T118,HYD,PUNE,2025-07-25,2025-06-27,3A,1,1
T104,KOL,JU,2025-02-22,2025-01-01,3A,1,0
T138,JU,SBC,2025-08-03,2025-06-29,3A,1,0
T137,PUNE,HYD,2025-10-10,2025-08-29,3A,1,1
T136,CSTM,KOL,2025-12-31,2025-12-23,SL,1,0
T138,JU,KOL,2025-05-06,2025-03-28,SL,1,1
T127,JU,MAS,2025-11-13,2025-08-13,2A,1,1
T124,LKO,NDLS,2025-04-27,2025-03-20,1A,1,1
T131,SBC,PUNE,2025-07-22,2025-04-28,2A,1,1
T113,NDLS,CSTM,2025-09-16,2025-07-24,2A,1,1
T111,JU,LKO,2025-06-05,2025-02-23,SL,1,1
T127,SBC,JU,2025-07-11,2025-04-02,SL,1,1
T108,NDLS,CSTM,2025-08-08,2025-05-16,SL,1,1
T124,BCT,HYD,2025-08-30,2025-07-31,3A,1,1
T132,CSTM,NDLS,2025-08-12,2025-07-25,1A,1,0
T126,NDLS,BCT,2025-04-15,2025-01-07,SL,1,1
T105,NDLS,CSTM,2025-05-13,2025-02-07,1A,1,0
T109,KOL,NDLS,2025-03-19,2024-12-24,SL,1,1
T112,MAS,NDLS,2025-10-15,2025-06-24,SL,1,0
T111,NDLS,PUNE,2025-08-10,2025-04-24,3A,1,1
T122,SBC,CSTM,2025-03-07,2025-02-21,2A,1,0
T133,BCT,MAS,2025-11-04,2025-09-02,3A,1,1
T114,PUNE,KOL,2025-05-13,2025-02-21,3A,1,1
T119,LKO,SBC,2025-09-19,2025-08-16,SL,1,1
T110,KOL,JU,2025-07-02,2025-06-09,3A,1,1
T103,LKO,JU,2025-12-18,2025-10-12,SL,1,1
T118,SBC,CSTM,2025-04-02,2025-01-10,SL,1,1
T111,JU,BCT,2025-03-19,2025-01-29,SL,1,1
T125,HYD,JU,2025-08-27,2025-06-02,3A,1,1
T135,NDLS,HYD,2025-12-21,2025-08-30,SL,1,1
